"","Target Name","#Plasmideos","#Morfologia","#Patch_clamp","variable","value"
"1","CT cell#4","GFP Dsred","Fibroblastoide","Nao","CHAT",37.0699996948
"2","CT cell#1","GFP Dsred","Fibroblastoide","Nao","CHAT",43.1339988708
"3","CT cell#3","GFP Dsred","Fibroblastoide","Nao","CHAT",46.2599983215
"4","CT cell#9","GFP Dsred","Fibroblastoide","Nao","CHAT",38.0820007324
"5","CT cell#10","GFP Dsred","Fibroblastoide","Nao","CHAT",30.7409992218
"6","CT cell#14","GFP Dsred","Fibroblastoide","Nao","CHAT",36.8569984436
"7","CT cell#17","Neurog2 + Sox2","Fibroblastoide","Nao","CHAT",39.5950012207
"8","CT cell#20","Neurog2 + Sox2","Fibroblastoide","Nao","CHAT",44.4510002136
"9","CT cell#18","Neurog2 + Sox2","Fibroblastoide","Nao","CHAT",45.6189994812
"10","CT cell#16","Neurog2 + Sox2","Fibroblastoide","Nao","CHAT",40.9850006104
"11","CT cell#23","Neurog2 + Sox2","Fibroblastoide","Nao","CHAT",NA
"12","CT cell#19","Neurog2 + Sox2","Fibroblastoide","Nao","CHAT",30.7350006104
"13","CT cell#22","Neurog2 + Sox2","None","Nao","CHAT",40.6269989014
"14","CT cell#24","Neurog2 + Sox2","Alterado","Nao","CHAT",40.9729995728
"15","CT cell#26","Neurog2 + Sox2","Neuronal","Nao","CHAT",41.3699989319
"16","CT cell#27","Neurog2 + Sox2","Neuronal","Nao","CHAT",41.8019981384
"17","CT cell#28","Neurog2 + Sox2","Neuronal","Nao","CHAT",42.3209991455
"18","CT cell#30","Ascl1 + Sox2","Fibroblastoide","Nao","CHAT",41.6440010071
"19","CT cell#37","Ascl1 + Sox2","Fibroblastoide","Nao","CHAT",42.8180007935
"20","CT cell#35","Ascl1 + Sox2","Fibroblastoide","Nao","CHAT",48.3219985962
"21","CT cell#32","Ascl1 + Sox2","Fibroblastoide","Nao","CHAT",38.8950004578
"22","CT cell#38","Ascl1 + Sox2","Neuronal","Nao","CHAT",46.3520011902
"23","CT cell#33","Ascl1 + Sox2","Neuronal","Nao","CHAT",29.8519992828
"24","CT cell#4","GFP Dsred","Fibroblastoide","Nao","PDGFRB",45.9049987793
"25","CT cell#1","GFP Dsred","Fibroblastoide","Nao","PDGFRB",NA
"26","CT cell#3","GFP Dsred","Fibroblastoide","Nao","PDGFRB",48.7179985046
"27","CT cell#9","GFP Dsred","Fibroblastoide","Nao","PDGFRB",49.2480010986
"28","CT cell#10","GFP Dsred","Fibroblastoide","Nao","PDGFRB",NA
"29","CT cell#14","GFP Dsred","Fibroblastoide","Nao","PDGFRB",44.6199989319
"30","CT cell#17","Neurog2 + Sox2","Fibroblastoide","Nao","PDGFRB",44.4790000916
"31","CT cell#20","Neurog2 + Sox2","Fibroblastoide","Nao","PDGFRB",32.5279998779
"32","CT cell#18","Neurog2 + Sox2","Fibroblastoide","Nao","PDGFRB",46.3540000916
"33","CT cell#16","Neurog2 + Sox2","Fibroblastoide","Nao","PDGFRB",NA
"34","CT cell#23","Neurog2 + Sox2","Fibroblastoide","Nao","PDGFRB",NA
"35","CT cell#19","Neurog2 + Sox2","Fibroblastoide","Nao","PDGFRB",33.2649993896
"36","CT cell#22","Neurog2 + Sox2","None","Nao","PDGFRB",40.9749984741
"37","CT cell#24","Neurog2 + Sox2","Alterado","Nao","PDGFRB",41.6399993896
"38","CT cell#26","Neurog2 + Sox2","Neuronal","Nao","PDGFRB",42.672000885
"39","CT cell#27","Neurog2 + Sox2","Neuronal","Nao","PDGFRB",45.0870018005
"40","CT cell#28","Neurog2 + Sox2","Neuronal","Nao","PDGFRB",NA
"41","CT cell#30","Ascl1 + Sox2","Fibroblastoide","Nao","PDGFRB",48.3499984741
"42","CT cell#37","Ascl1 + Sox2","Fibroblastoide","Nao","PDGFRB",NA
"43","CT cell#35","Ascl1 + Sox2","Fibroblastoide","Nao","PDGFRB",45.5810012817
"44","CT cell#32","Ascl1 + Sox2","Fibroblastoide","Nao","PDGFRB",NA
"45","CT cell#38","Ascl1 + Sox2","Neuronal","Nao","PDGFRB",NA
"46","CT cell#33","Ascl1 + Sox2","Neuronal","Nao","PDGFRB",NA
"47","CT cell#4","GFP Dsred","Fibroblastoide","Nao","SATB2",44.5289993286
"48","CT cell#1","GFP Dsred","Fibroblastoide","Nao","SATB2",NA
"49","CT cell#3","GFP Dsred","Fibroblastoide","Nao","SATB2",45.858001709
"50","CT cell#9","GFP Dsred","Fibroblastoide","Nao","SATB2",40.7739982605
"51","CT cell#10","GFP Dsred","Fibroblastoide","Nao","SATB2",37.9939994812
"52","CT cell#14","GFP Dsred","Fibroblastoide","Nao","SATB2",44.486000061
"53","CT cell#17","Neurog2 + Sox2","Fibroblastoide","Nao","SATB2",37.1220016479
"54","CT cell#20","Neurog2 + Sox2","Fibroblastoide","Nao","SATB2",41.9430007935
"55","CT cell#18","Neurog2 + Sox2","Fibroblastoide","Nao","SATB2",43.4259986877
"56","CT cell#16","Neurog2 + Sox2","Fibroblastoide","Nao","SATB2",41.65599823
"57","CT cell#23","Neurog2 + Sox2","Fibroblastoide","Nao","SATB2",37.297000885
"58","CT cell#19","Neurog2 + Sox2","Fibroblastoide","Nao","SATB2",41.4910011292
"59","CT cell#22","Neurog2 + Sox2","None","Nao","SATB2",36.0050010681
"60","CT cell#24","Neurog2 + Sox2","Alterado","Nao","SATB2",41.3769989014
"61","CT cell#26","Neurog2 + Sox2","Neuronal","Nao","SATB2",34.8129997253
"62","CT cell#27","Neurog2 + Sox2","Neuronal","Nao","SATB2",40.6489982605
"63","CT cell#28","Neurog2 + Sox2","Neuronal","Nao","SATB2",47.8269996643
"64","CT cell#30","Ascl1 + Sox2","Fibroblastoide","Nao","SATB2",39.1990013123
"65","CT cell#37","Ascl1 + Sox2","Fibroblastoide","Nao","SATB2",36.8040008545
"66","CT cell#35","Ascl1 + Sox2","Fibroblastoide","Nao","SATB2",36.2120018005
"67","CT cell#32","Ascl1 + Sox2","Fibroblastoide","Nao","SATB2",44.3359985352
"68","CT cell#38","Ascl1 + Sox2","Neuronal","Nao","SATB2",36.5250015259
"69","CT cell#33","Ascl1 + Sox2","Neuronal","Nao","SATB2",36.2680015564
"70","CT cell#4","GFP Dsred","Fibroblastoide","Nao","MAP2",38.4179992676
"71","CT cell#1","GFP Dsred","Fibroblastoide","Nao","MAP2",43.4850006104
"72","CT cell#3","GFP Dsred","Fibroblastoide","Nao","MAP2",40.3009986877
"73","CT cell#9","GFP Dsred","Fibroblastoide","Nao","MAP2",36.4679985046
"74","CT cell#10","GFP Dsred","Fibroblastoide","Nao","MAP2",35.5760002136
"75","CT cell#14","GFP Dsred","Fibroblastoide","Nao","MAP2",37.141998291
"76","CT cell#17","Neurog2 + Sox2","Fibroblastoide","Nao","MAP2",36.4930000305
"77","CT cell#20","Neurog2 + Sox2","Fibroblastoide","Nao","MAP2",36.2229995728
"78","CT cell#18","Neurog2 + Sox2","Fibroblastoide","Nao","MAP2",31.6679992676
"79","CT cell#16","Neurog2 + Sox2","Fibroblastoide","Nao","MAP2",36.327999115
"80","CT cell#23","Neurog2 + Sox2","Fibroblastoide","Nao","MAP2",37.4809989929
"81","CT cell#19","Neurog2 + Sox2","Fibroblastoide","Nao","MAP2",38.0789985657
"82","CT cell#22","Neurog2 + Sox2","None","Nao","MAP2",37.1940002441
"83","CT cell#24","Neurog2 + Sox2","Alterado","Nao","MAP2",38.6339988708
"84","CT cell#26","Neurog2 + Sox2","Neuronal","Nao","MAP2",40.375
"85","CT cell#27","Neurog2 + Sox2","Neuronal","Nao","MAP2",39.8209991455
"86","CT cell#28","Neurog2 + Sox2","Neuronal","Nao","MAP2",34.5180015564
"87","CT cell#30","Ascl1 + Sox2","Fibroblastoide","Nao","MAP2",37.9020004272
"88","CT cell#37","Ascl1 + Sox2","Fibroblastoide","Nao","MAP2",42.9949989319
"89","CT cell#35","Ascl1 + Sox2","Fibroblastoide","Nao","MAP2",36.4410018921
"90","CT cell#32","Ascl1 + Sox2","Fibroblastoide","Nao","MAP2",35.8170013428
"91","CT cell#38","Ascl1 + Sox2","Neuronal","Nao","MAP2",37.658000946
"92","CT cell#33","Ascl1 + Sox2","Neuronal","Nao","MAP2",37.4679985046
"93","CT cell#4","GFP Dsred","Fibroblastoide","Nao","GAD1",40.9850006104
"94","CT cell#1","GFP Dsred","Fibroblastoide","Nao","GAD1",41.1279983521
"95","CT cell#3","GFP Dsred","Fibroblastoide","Nao","GAD1",43.3019981384
"96","CT cell#9","GFP Dsred","Fibroblastoide","Nao","GAD1",42.6790008545
"97","CT cell#10","GFP Dsred","Fibroblastoide","Nao","GAD1",NA
"98","CT cell#14","GFP Dsred","Fibroblastoide","Nao","GAD1",NA
"99","CT cell#17","Neurog2 + Sox2","Fibroblastoide","Nao","GAD1",43.09400177
"100","CT cell#20","Neurog2 + Sox2","Fibroblastoide","Nao","GAD1",47.0530014038
"101","CT cell#18","Neurog2 + Sox2","Fibroblastoide","Nao","GAD1",31.4459991455
"102","CT cell#16","Neurog2 + Sox2","Fibroblastoide","Nao","GAD1",46.8940010071
"103","CT cell#23","Neurog2 + Sox2","Fibroblastoide","Nao","GAD1",NA
"104","CT cell#19","Neurog2 + Sox2","Fibroblastoide","Nao","GAD1",43.7849998474
"105","CT cell#22","Neurog2 + Sox2","None","Nao","GAD1",29.1340007782
"106","CT cell#24","Neurog2 + Sox2","Alterado","Nao","GAD1",39.0439987183
"107","CT cell#26","Neurog2 + Sox2","Neuronal","Nao","GAD1",40.561000824
"108","CT cell#27","Neurog2 + Sox2","Neuronal","Nao","GAD1",31
"109","CT cell#28","Neurog2 + Sox2","Neuronal","Nao","GAD1",43.5159988403
"110","CT cell#30","Ascl1 + Sox2","Fibroblastoide","Nao","GAD1",49.5349998474
"111","CT cell#37","Ascl1 + Sox2","Fibroblastoide","Nao","GAD1",49.8409996033
"112","CT cell#35","Ascl1 + Sox2","Fibroblastoide","Nao","GAD1",48.4850006104
"113","CT cell#32","Ascl1 + Sox2","Fibroblastoide","Nao","GAD1",46.1529998779
"114","CT cell#38","Ascl1 + Sox2","Neuronal","Nao","GAD1",45.6040000916
"115","CT cell#33","Ascl1 + Sox2","Neuronal","Nao","GAD1",30.8460006714
"116","CT cell#4","GFP Dsred","Fibroblastoide","Nao","THY1",46.4609985352
"117","CT cell#1","GFP Dsred","Fibroblastoide","Nao","THY1",NA
"118","CT cell#3","GFP Dsred","Fibroblastoide","Nao","THY1",32.2890014648
"119","CT cell#9","GFP Dsred","Fibroblastoide","Nao","THY1",45.5019989014
"120","CT cell#10","GFP Dsred","Fibroblastoide","Nao","THY1",48.6650009155
"121","CT cell#14","GFP Dsred","Fibroblastoide","Nao","THY1",41.5480003357
"122","CT cell#17","Neurog2 + Sox2","Fibroblastoide","Nao","THY1",NA
"123","CT cell#20","Neurog2 + Sox2","Fibroblastoide","Nao","THY1",30.9470005035
"124","CT cell#18","Neurog2 + Sox2","Fibroblastoide","Nao","THY1",45.736000061
"125","CT cell#16","Neurog2 + Sox2","Fibroblastoide","Nao","THY1",29
"126","CT cell#23","Neurog2 + Sox2","Fibroblastoide","Nao","THY1",31.202999115
"127","CT cell#19","Neurog2 + Sox2","Fibroblastoide","Nao","THY1",49.1669998169
"128","CT cell#22","Neurog2 + Sox2","None","Nao","THY1",29.5990009308
"129","CT cell#24","Neurog2 + Sox2","Alterado","Nao","THY1",36.7459983826
"130","CT cell#26","Neurog2 + Sox2","Neuronal","Nao","THY1",NA
"131","CT cell#27","Neurog2 + Sox2","Neuronal","Nao","THY1",39.5060005188
"132","CT cell#28","Neurog2 + Sox2","Neuronal","Nao","THY1",37.6479988098
"133","CT cell#30","Ascl1 + Sox2","Fibroblastoide","Nao","THY1",43.1599998474
"134","CT cell#37","Ascl1 + Sox2","Fibroblastoide","Nao","THY1",46.4879989624
"135","CT cell#35","Ascl1 + Sox2","Fibroblastoide","Nao","THY1",NA
"136","CT cell#32","Ascl1 + Sox2","Fibroblastoide","Nao","THY1",30.7649993896
"137","CT cell#38","Ascl1 + Sox2","Neuronal","Nao","THY1",41.3979988098
"138","CT cell#33","Ascl1 + Sox2","Neuronal","Nao","THY1",29.4200000763
"139","CT cell#4","GFP Dsred","Fibroblastoide","Nao","RBFOX3",43.4309997559
"140","CT cell#1","GFP Dsred","Fibroblastoide","Nao","RBFOX3",41.6489982605
"141","CT cell#3","GFP Dsred","Fibroblastoide","Nao","RBFOX3",46.5900001526
"142","CT cell#9","GFP Dsred","Fibroblastoide","Nao","RBFOX3",49.4959983826
"143","CT cell#10","GFP Dsred","Fibroblastoide","Nao","RBFOX3",NA
"144","CT cell#14","GFP Dsred","Fibroblastoide","Nao","RBFOX3",NA
"145","CT cell#17","Neurog2 + Sox2","Fibroblastoide","Nao","RBFOX3",41.9140014648
"146","CT cell#20","Neurog2 + Sox2","Fibroblastoide","Nao","RBFOX3",42.9840011597
"147","CT cell#18","Neurog2 + Sox2","Fibroblastoide","Nao","RBFOX3",NA
"148","CT cell#16","Neurog2 + Sox2","Fibroblastoide","Nao","RBFOX3",35.2659988403
"149","CT cell#23","Neurog2 + Sox2","Fibroblastoide","Nao","RBFOX3",43.4809989929
"150","CT cell#19","Neurog2 + Sox2","Fibroblastoide","Nao","RBFOX3",43.6360015869
"151","CT cell#22","Neurog2 + Sox2","None","Nao","RBFOX3",38.202999115
"152","CT cell#24","Neurog2 + Sox2","Alterado","Nao","RBFOX3",41.9609985352
"153","CT cell#26","Neurog2 + Sox2","Neuronal","Nao","RBFOX3",39.8170013428
"154","CT cell#27","Neurog2 + Sox2","Neuronal","Nao","RBFOX3",36.1020011902
"155","CT cell#28","Neurog2 + Sox2","Neuronal","Nao","RBFOX3",NA
"156","CT cell#30","Ascl1 + Sox2","Fibroblastoide","Nao","RBFOX3",NA
"157","CT cell#37","Ascl1 + Sox2","Fibroblastoide","Nao","RBFOX3",NA
"158","CT cell#35","Ascl1 + Sox2","Fibroblastoide","Nao","RBFOX3",46.6049995422
"159","CT cell#32","Ascl1 + Sox2","Fibroblastoide","Nao","RBFOX3",49.0320014954
"160","CT cell#38","Ascl1 + Sox2","Neuronal","Nao","RBFOX3",NA
"161","CT cell#33","Ascl1 + Sox2","Neuronal","Nao","RBFOX3",35.0740013123
"162","CT cell#4","GFP Dsred","Fibroblastoide","Nao","CALB1",NA
"163","CT cell#1","GFP Dsred","Fibroblastoide","Nao","CALB1",NA
"164","CT cell#3","GFP Dsred","Fibroblastoide","Nao","CALB1",NA
"165","CT cell#9","GFP Dsred","Fibroblastoide","Nao","CALB1",39.6220016479
"166","CT cell#10","GFP Dsred","Fibroblastoide","Nao","CALB1",NA
"167","CT cell#14","GFP Dsred","Fibroblastoide","Nao","CALB1",NA
"168","CT cell#17","Neurog2 + Sox2","Fibroblastoide","Nao","CALB1",44.7210006714
"169","CT cell#20","Neurog2 + Sox2","Fibroblastoide","Nao","CALB1",47.84400177
"170","CT cell#18","Neurog2 + Sox2","Fibroblastoide","Nao","CALB1",49.5830001831
"171","CT cell#16","Neurog2 + Sox2","Fibroblastoide","Nao","CALB1",44.2620010376
"172","CT cell#23","Neurog2 + Sox2","Fibroblastoide","Nao","CALB1",43.3219985962
"173","CT cell#19","Neurog2 + Sox2","Fibroblastoide","Nao","CALB1",NA
"174","CT cell#22","Neurog2 + Sox2","None","Nao","CALB1",31.1690006256
"175","CT cell#24","Neurog2 + Sox2","Alterado","Nao","CALB1",47.0359992981
"176","CT cell#26","Neurog2 + Sox2","Neuronal","Nao","CALB1",40.3460006714
"177","CT cell#27","Neurog2 + Sox2","Neuronal","Nao","CALB1",NA
"178","CT cell#28","Neurog2 + Sox2","Neuronal","Nao","CALB1",45.9799995422
"179","CT cell#30","Ascl1 + Sox2","Fibroblastoide","Nao","CALB1",44.6209983826
"180","CT cell#37","Ascl1 + Sox2","Fibroblastoide","Nao","CALB1",38.8230018616
"181","CT cell#35","Ascl1 + Sox2","Fibroblastoide","Nao","CALB1",41.5909996033
"182","CT cell#32","Ascl1 + Sox2","Fibroblastoide","Nao","CALB1",NA
"183","CT cell#38","Ascl1 + Sox2","Neuronal","Nao","CALB1",37.1650009155
"184","CT cell#33","Ascl1 + Sox2","Neuronal","Nao","CALB1",30.9750003815
"185","CT cell#4","GFP Dsred","Fibroblastoide","Nao","SLC32A1",41.5190010071
"186","CT cell#1","GFP Dsred","Fibroblastoide","Nao","SLC32A1",38.2729988098
"187","CT cell#3","GFP Dsred","Fibroblastoide","Nao","SLC32A1",43.7060012817
"188","CT cell#9","GFP Dsred","Fibroblastoide","Nao","SLC32A1",37.4679985046
"189","CT cell#10","GFP Dsred","Fibroblastoide","Nao","SLC32A1",37.1230010986
"190","CT cell#14","GFP Dsred","Fibroblastoide","Nao","SLC32A1",36.2039985657
"191","CT cell#17","Neurog2 + Sox2","Fibroblastoide","Nao","SLC32A1",37.9640007019
"192","CT cell#20","Neurog2 + Sox2","Fibroblastoide","Nao","SLC32A1",36.7210006714
"193","CT cell#18","Neurog2 + Sox2","Fibroblastoide","Nao","SLC32A1",37.3619995117
"194","CT cell#16","Neurog2 + Sox2","Fibroblastoide","Nao","SLC32A1",37.7389984131
"195","CT cell#23","Neurog2 + Sox2","Fibroblastoide","Nao","SLC32A1",36.9959983826
"196","CT cell#19","Neurog2 + Sox2","Fibroblastoide","Nao","SLC32A1",38.0279998779
"197","CT cell#22","Neurog2 + Sox2","None","Nao","SLC32A1",36.8520011902
"198","CT cell#24","Neurog2 + Sox2","Alterado","Nao","SLC32A1",37.8310012817
"199","CT cell#26","Neurog2 + Sox2","Neuronal","Nao","SLC32A1",40.7039985657
"200","CT cell#27","Neurog2 + Sox2","Neuronal","Nao","SLC32A1",40.2789993286
"201","CT cell#28","Neurog2 + Sox2","Neuronal","Nao","SLC32A1",37.1510009766
"202","CT cell#30","Ascl1 + Sox2","Fibroblastoide","Nao","SLC32A1",42.702999115
"203","CT cell#37","Ascl1 + Sox2","Fibroblastoide","Nao","SLC32A1",35.7929992676
"204","CT cell#35","Ascl1 + Sox2","Fibroblastoide","Nao","SLC32A1",35.4480018616
"205","CT cell#32","Ascl1 + Sox2","Fibroblastoide","Nao","SLC32A1",36.5620002747
"206","CT cell#38","Ascl1 + Sox2","Neuronal","Nao","SLC32A1",38.6090011597
"207","CT cell#33","Ascl1 + Sox2","Neuronal","Nao","SLC32A1",39.75
"208","CT cell#4","GFP Dsred","Fibroblastoide","Nao","TBR1",45.0229988098
"209","CT cell#1","GFP Dsred","Fibroblastoide","Nao","TBR1",39.4900016785
"210","CT cell#3","GFP Dsred","Fibroblastoide","Nao","TBR1",46.5830001831
"211","CT cell#9","GFP Dsred","Fibroblastoide","Nao","TBR1",45.1180000305
"212","CT cell#10","GFP Dsred","Fibroblastoide","Nao","TBR1",44.563999176
"213","CT cell#14","GFP Dsred","Fibroblastoide","Nao","TBR1",45.9500007629
"214","CT cell#17","Neurog2 + Sox2","Fibroblastoide","Nao","TBR1",39.2490005493
"215","CT cell#20","Neurog2 + Sox2","Fibroblastoide","Nao","TBR1",39.0629997253
"216","CT cell#18","Neurog2 + Sox2","Fibroblastoide","Nao","TBR1",42.9679985046
"217","CT cell#16","Neurog2 + Sox2","Fibroblastoide","Nao","TBR1",41.0690002441
"218","CT cell#23","Neurog2 + Sox2","Fibroblastoide","Nao","TBR1",45.1349983215
"219","CT cell#19","Neurog2 + Sox2","Fibroblastoide","Nao","TBR1",41.78099823
"220","CT cell#22","Neurog2 + Sox2","None","Nao","TBR1",37.1749992371
"221","CT cell#24","Neurog2 + Sox2","Alterado","Nao","TBR1",40.6800003052
"222","CT cell#26","Neurog2 + Sox2","Neuronal","Nao","TBR1",40.3499984741
"223","CT cell#27","Neurog2 + Sox2","Neuronal","Nao","TBR1",42.0379981995
"224","CT cell#28","Neurog2 + Sox2","Neuronal","Nao","TBR1",45.5769996643
"225","CT cell#30","Ascl1 + Sox2","Fibroblastoide","Nao","TBR1",43.4760017395
"226","CT cell#37","Ascl1 + Sox2","Fibroblastoide","Nao","TBR1",43.1759986877
"227","CT cell#35","Ascl1 + Sox2","Fibroblastoide","Nao","TBR1",41.375
"228","CT cell#32","Ascl1 + Sox2","Fibroblastoide","Nao","TBR1",45.0069999695
"229","CT cell#38","Ascl1 + Sox2","Neuronal","Nao","TBR1",42.8790016174
"230","CT cell#33","Ascl1 + Sox2","Neuronal","Nao","TBR1",40.5340003967
"231","CT cell#4","GFP Dsred","Fibroblastoide","Nao","CALB2",43.8530006409
"232","CT cell#1","GFP Dsred","Fibroblastoide","Nao","CALB2",38.8800010681
"233","CT cell#3","GFP Dsred","Fibroblastoide","Nao","CALB2",32.1090011597
"234","CT cell#9","GFP Dsred","Fibroblastoide","Nao","CALB2",40.0929985046
"235","CT cell#10","GFP Dsred","Fibroblastoide","Nao","CALB2",NA
"236","CT cell#14","GFP Dsred","Fibroblastoide","Nao","CALB2",39.327999115
"237","CT cell#17","Neurog2 + Sox2","Fibroblastoide","Nao","CALB2",44.858001709
"238","CT cell#20","Neurog2 + Sox2","Fibroblastoide","Nao","CALB2",39.5550003052
"239","CT cell#18","Neurog2 + Sox2","Fibroblastoide","Nao","CALB2",38.5499992371
"240","CT cell#16","Neurog2 + Sox2","Fibroblastoide","Nao","CALB2",45.9710006714
"241","CT cell#23","Neurog2 + Sox2","Fibroblastoide","Nao","CALB2",48.9920005798
"242","CT cell#19","Neurog2 + Sox2","Fibroblastoide","Nao","CALB2",45.2350006104
"243","CT cell#22","Neurog2 + Sox2","None","Nao","CALB2",29.4920005798
"244","CT cell#24","Neurog2 + Sox2","Alterado","Nao","CALB2",40.1339988708
"245","CT cell#26","Neurog2 + Sox2","Neuronal","Nao","CALB2",40.3779983521
"246","CT cell#27","Neurog2 + Sox2","Neuronal","Nao","CALB2",36.6020011902
"247","CT cell#28","Neurog2 + Sox2","Neuronal","Nao","CALB2",NA
"248","CT cell#30","Ascl1 + Sox2","Fibroblastoide","Nao","CALB2",38.766998291
"249","CT cell#37","Ascl1 + Sox2","Fibroblastoide","Nao","CALB2",44.1899986267
"250","CT cell#35","Ascl1 + Sox2","Fibroblastoide","Nao","CALB2",NA
"251","CT cell#32","Ascl1 + Sox2","Fibroblastoide","Nao","CALB2",42.2389984131
"252","CT cell#38","Ascl1 + Sox2","Neuronal","Nao","CALB2",44.5429992676
"253","CT cell#33","Ascl1 + Sox2","Neuronal","Nao","CALB2",NA
"254","CT cell#4","GFP Dsred","Fibroblastoide","Nao","DLG4",45.2159996033
"255","CT cell#1","GFP Dsred","Fibroblastoide","Nao","DLG4",40.7210006714
